tweet,Brand/Product,sentiment,Brand,Hashtags,tweet_Word_Count,Processed_tweet,Original_Sentiment,Token Count
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive,Google,['#SXSW'],19,"['find', 'amp', 'start', 'impromptu', 'party', 'cant', 'wait', 'til', 'android', 'app', 'come']",Positive emotion,11
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive,Google,['#SXSW'],22,"['foursquare', 'ups', 'game', 'time', 'still', 'prefer', 'far', 'best', 'looking', 'android', 'app', 'date']",Positive emotion,12
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive,Google,['#SXSW'],19,"['got', 'ta', 'love', 'google', 'calendar', 'featuring', 'top', 'party', 'show', 'case', 'check', 'rt', 'via', 'gt']",Positive emotion,14
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive,Apple,['#sxsw'],7,"['great', 'ipad', 'app']",Positive emotion,3
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive,Apple,"['#hollergram', '#sxsw']",10,"['haha', 'awesomely', 'rad', 'ipad', 'app']",Positive emotion,5
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,Uncategorised,Not Positive,Apple,['#sxsw'],14,"['holler', 'gram', 'ipad', 'itunes', 'app', 'store', 'via', 'isken']",No emotion toward brand or product,8
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Not Positive,Apple,"['#SXSW', '#iPhone']",24,"['noticed', 'dst', 'is', 'coming', 'weekend', 'many', 'iphone', 'user', 'hour', 'late', 'sxsw', 'come', 'sunday', 'morning']",Negative emotion,14
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive,Apple,['#SXSW'],19,"['added', 'flight', 'matching', 'people', 'planesairports', 'also', 'downloaded', 'iphone', 'app', 'nicely', 'done']",Positive emotion,11
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive,Apple,['#SXSW'],19,"['must', 'have', 'app', 'rt', 'lovely', 'review', 'forbes', 'sxsw', 'ipad', 'app', 'holler', 'gram']",Positive emotion,12
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive,Apple,['#sxsw'],24,"['need', 'buy', 'ipad2', 'im', 'austin', 'not', 'sure', 'ill', 'need', 'q', 'austin', 'apple', 'store']",Positive emotion,13
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive,Apple,['#SXSW'],23,"['oh', 'god', 'app', 'ipad', 'is', 'pure', 'unadulterated', 'awesome', 'easier', 'browse', 'event', 'ipad', 'website']",Positive emotion,13
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive,Google,"['#Android', '#sxsw']",13,"['okay', 'is', 'really', 'it', 'yay', 'new', 'app11', 'kthxbai']",Positive emotion,8
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive,Apple,['#SXSW'],12,"['photo', 'installed', 'iphone', 'app', 'is', 'really', 'nice']",Positive emotion,7
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive,Google,['#SXSW'],24,"['really', 'enjoying', 'change', 'gowalla', '30', 'android', 'looking', 'forward', 'seeing', 'else', 'amp', 'foursquare', 'have', 'sleeve']",Positive emotion,14
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive,Apple,"['#SMCDallas', '#SXSW', '#iPad', '#ChevySMC']",24,"['rt', 'im', 'looking', 'forward', 'pre', 'party', 'wed', 'hoping', 'ill', 'win', 'resulting', 'shameless', 'promotion']",Positive emotion,13
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive,Apple,"['#hollergram', '#sxsw']",13,"['rt', 'haha', 'awesomely', 'rad', 'ipad', 'app', 'via']",Positive emotion,7
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive,Google,"['#austin', '#sxsw']",12,"['someone', 'started', 'group', 'google', 'group', 'pre', 'great', 'idea']",Positive emotion,8
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive,Apple,"['#4sq3', '#SXSW', '#KeepAustinWeird']",21,"['new', 'look', 'like', 'it', 'is', 'going', 'rock', 'update', 'iphone', 'android', 'should', 'push', 'tonight']",Positive emotion,13
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive,Google,"['#android', '#sxsw']",18,"['were', 'right', '3', 'app', 'is', 'sweeeeet', 'nice', 'job', 'team']",Positive emotion,9
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive,Apple,"['#hollergram', '#sxsw']",17,"['very', 'smart', 'ipad', 'app', 'may', 'leave', 'vuvuzela', 'home', 'now']",Positive emotion,9
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive,Apple,"['#SXSW', '#hollergram']",16,"['must', 'have', 'app', 'ipad', 'are', 'going']",Positive emotion,6
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",Uncategorised,Not Positive,Google,"['#SXSW', '#GDGTLive']",15,"['attn', 'frineds', 'register', 'see', 'cobra', 'iradar', 'android']",No emotion toward brand or product,7
Anyone at  #sxsw want to sell their old iPad?,Uncategorised,Not Positive,Apple,['#sxsw'],9,"['anyone', 'want', 'sell', 'old', 'ipad']",No emotion toward brand or product,5
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,Uncategorised,Not Positive,Apple,['#SXSW'],16,"['anyone', 'bought', 'new', 'ipad', 'want', 'sell', 'older', 'ipad']",No emotion toward brand or product,8
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",Uncategorised,Not Positive,Google,['#sxsw'],17,"['oooh', 'rt', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today']",No emotion toward brand or product,12
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive,Apple,"['#ipad2', '#sxsw', '#eventprofs', '#pcma', '#engage365']",22,"['best', 'rt', 'ha', 'first', 'line', 'quotpopupquot', 'apple', 'store', 'wa', 'event', 'planner']",Positive emotion,11
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,Uncategorised,Not Positive,Apple,"['#iTunes', '#sxsw']",20,"['spin', 'play', 'new', 'concept', 'music', 'discovery', 'ipad', 'amp']",No emotion toward brand or product,8
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Not Positive,Google,"['#Google', '#Circles', '#Social', '#SXSW']",18,"['false', 'alarm', 'google', 'circle', 'not', 'coming', 'now\x89ûòand', 'probably', 'not', 'ever']",Negative emotion,10
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,Uncategorised,Not Positive,Contains Both,['#sxsw'],12,"['vatornews', 'google', 'apple', 'force', 'print', 'medium', 'evolve']",No emotion toward brand or product,7
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive,Apple,['#sxsw'],23,"['great', 'weather', 'greet', 'still', 'need', 'sweater', 'nightapple', 'putting', 'quotflash', 'storequot', 'downtown', 'sell', 'ipad2']",Positive emotion,13
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",Uncategorised,Not Positive,Contains Both,['#SXSW'],18,"['hootsuite', 'hootsuite', 'mobile', 'update', 'iphone', 'blackberry', 'amp', 'android', 'whether', 'you\x89ûªre', 'getting', 'friend']",No emotion toward brand or product,12
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,Uncategorised,Not Positive,Apple,"['#SXSW', '#zazzlesxsw']",25,"['hey', 'long', 'think', 'it', 'take', 'u', 'make', 'iphone', 'case', 'answer', 'using', 'we\x89ûªll', 'make', 'one']",No emotion toward brand or product,14
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},Uncategorised,Not Positive,Apple,"['#ipad', '#sxsw', '#gadgets']",13,"['mashable', 'ipad', '2', 'take', 'sxsw', 'video']",No emotion toward brand or product,6
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},Uncategorised,Not Positive,Apple,"['#UberSocial', '#iPhone', '#SXSW']",21,"['ipad', 'rt', 'new', 'now', 'app', 'store', 'includes', 'uberguide', 'sponsored']",No emotion toward brand or product,9
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive,Apple,"['#IPad2', '#SmartCover', '#apple', '#SXSW']",19,"['\x89û÷', 'open', 'instant', 'access', 'should', 'have', 'waited', 'get', 'one']",Positive emotion,9
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},Uncategorised,Positive,Apple,['#SXSW'],12,"['handheld', '\x89û÷hobo\x89ûª', 'drafthouse', 'launch', '\x89û÷hobo', 'shotgun\x89ûª', 'iphone', 'app']",Positive emotion,8
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive,Apple,['#SXSW'],16,"['hooray', 'rt', '\x89ûï', 'apple', 'is', 'opening', 'popup', 'store', 'austin']",Positive emotion,9
Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,Uncategorised,Not Positive,Google,"['#Circles', '#sxsw']",13,"['orly', '\x89ûï', 'google', 'set', 'launch', 'new', 'social', 'network', 'today']",No emotion toward brand or product,9
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive,Apple,['#sxsw'],10,"['wooooo', '\x89ûï', 'apple', 'store', 'downtown', 'austin', 'open', 'til', 'midnight']",Positive emotion,9
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,Uncategorised,Not Positive,Apple,['#sxsw'],19,"['khoi', 'vinh', 'say', 'conde', 'nast', 'headlong', 'rush', 'ipad', 'publishing', 'wa', 'quotfundamental', 'misunderstandingquot', 'platform']",No emotion toward brand or product,13
"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",Uncategorised,Not Positive,Uncategorized,"['#libya', '#SXSW']",21,"['\x89ûï', 'lt', 'help', 'forward', 'doc', 'anonymous', 'account', 'techiesamp', 'ppl', 'can', 'help', 'u', 'jam']",No emotion toward brand or product,13
÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Uncategorised,Not Positive,Uncategorized,"['#edchat', '#musedchat', '#sxsw', '#sxswi', '#classical', '#newTwitter']",11,"['\x89÷¼', '\x89÷', '\x89ã']",No emotion toward brand or product,3
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",Uncategorised,Not Positive,Uncategorized,['#sxsw'],14,"['locationbased', 'fast', 'fun', 'future', 'via']",No emotion toward brand or product,5
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,Uncategorised,Not Positive,Google,"['#Google', '#sxsw']",16,"['\x89ûï', 'connect', 'digital', 'amp', 'physical', 'world', 'mobile']",No emotion toward brand or product,7
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive,Google,"['#bettercloud', '#sxsw']",17,"['\x89ûï', 'talking', 'google', 'effort', 'allow', 'user', 'have', 'open', 'system']",Positive emotion,9
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",Uncategorised,Not Positive,Google,"['#911tweets', '#SXSW']",21,"['rt', 'quotgoogle', 'tweetquot', 'is', 'new', 'quotthink', 'speakquot', 'mark', 'belinsky', 'panel']",No emotion toward brand or product,10
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive,Apple,"['#SXSW', '#Chaos']",26,"['rt', '1st', 'stop', 'amp', 'hunt', 'austin', 'java', 'get', 'spy', 'game', '4', 'chance', '2', 'win', 'ipad']",Positive emotion,15
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},Uncategorised,Not Positive,Apple,['#SXSW'],16,"['rt', 'check', 'holler', 'gram', 'ipad', 'app']",No emotion toward brand or product,6
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},Uncategorised,Not Positive,Google,"['#google', '#SXSW']",11,"['amp', 'having', 'fun', 'pic']",No emotion toward brand or product,4
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,Uncategorised,Not Positive,Apple,"['#books', '#internet', '#Apple', '#sxsw']",20,"['quotvia', 'guy', 'kawasaki', 'talk', 'enchanted', 'sxsw', 'know', 'stuff', 'quot']",No emotion toward brand or product,9
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",Uncategorised,Not Positive,Contains Both,"['#futuremf', '#sxsw']",15,"['spec', 'recipe', 'web', 'now', 'google', 'search']",No emotion toward brand or product,6
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive,Apple,"['#OMFG', '#sxsw', '#iPad2']",19,"['rt', 'heard', 'apple', 'popup', 'store', 'downtown', 'austin', 'pic', 'are', 'already', 'gowalla']",Positive emotion,11
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,Not Positive,Apple,"['#Smile', '#sxsw']",24,"['rt', 'think', 'apple', 'quotpopup', 'storequot', 'austin', 'would', 'lot', 'more', 'interesting', 'it', 'actually', 'know', 'popped']",No emotion toward brand or product,14
Again? RT @mention Line at the Apple store is insane.. #sxsw,Uncategorised,Not Positive,Apple,['#sxsw'],11,"['again', 'rt', 'line', 'apple', 'store', 'is', 'insane']",Negative emotion,7
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,Uncategorised,Not Positive,Apple,['#sxsw'],26,"['agree', 'rt', 'wait', 'fiona', 'apple', 'is', 'town', 'somebody', 'kidnap', 'put', 'recording', 'studio', 'she', 'record', 'new', 'album']",No emotion toward brand or product,16
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,Uncategorised,Not Positive,Uncategorized,['#sxsw'],18,"['wan', 'na', 'buy', 'drink', '7pm', 'fado', '4th', 'join', 'u']",No emotion toward brand or product,9
attending @mention iPad design headaches #sxsw {link},iPad,Not Positive,Apple,['#sxsw'],7,"['attending', 'ipad', 'design', 'headache']",Negative emotion,4
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",Uncategorised,Not Positive,Contains Both,['#sxsw'],14,"['boooo', 'rt', 'flipboard', 'is', 'developing', 'iphone', 'version', 'not', 'android', 'say']",Negative emotion,10
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive,Apple,"['#sxswi', '#SXSW']",20,"['check', 'amp', 'line', 'ipad', '2', 'austin', 'power']",Positive emotion,7
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,Uncategorised,Not Positive,Google,"['#google', '#pnid', '#sxsw']",18,"['check', 'rt', 'giving', 'added', 'value', 'location', 'based', 'service', 'need', 'battle', 'checkin', 'fatigue']",No emotion toward brand or product,12
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,Uncategorised,Not Positive,Uncategorized,['#SXSW'],21,"['chilcott', 'stand', 'talking', 'blogger', 'staff', 'late', 'win', 'competition', 'best', 'tweet', 'mentioning', 'no', 'tshirt']",No emotion toward brand or product,13
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive,Google,['#sxsw'],21,"['it', 'rt', 'come', 'party', 'w', 'google', 'tonight', 'band', 'food', 'art', 'ice', 'cream', 'nifty', 'interactive', 'map']",Positive emotion,15
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Uncategorised,Not Positive,Uncategorized,['#SXSW'],16,"['gowallas', 'promise', 'launch', 'foursquare', 'checkin', 'groupon', 'rewardstype', 'service', 'finger', 'crossed']",No emotion toward brand or product,10
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",Uncategorised,Not Positive,Google,['#SXSW'],23,"['haha', 'rt', 'news', 'is', 'loosing', 'search', 'traffic', 'new', 'site', 'g', 'doubt', 'it', 'last', 'tho', 'w', 'weird', 'name']",No emotion toward brand or product,17
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive,Google,['#sxsw'],14,"['holla', 'rt', 'google', 'party', 'best', 'ever', 'get', 'butt']",Positive emotion,8
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive,Apple,"['#Sxsw', '#fail']",18,"['love', 'iphone', 'case', 'cant', 'get', 'phone', 'it']",Positive emotion,7
I worship @mention {link} #SXSW,Uncategorised,Not Positive,Apple,['#SXSW'],5,['worship'],No emotion toward brand or product,1
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",Uncategorised,Not Positive,Apple,"['#agnerd', '#SXSW']",21,"['ipad2', 'rt', 'droid', 'amp', 'mac', 'rt', 'confession', 'using', 'laptop', 'ipad', 'amp', 'blackberry', 'follow']",No emotion toward brand or product,13
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Uncategorised,Not Positive,Uncategorized,['#SxSW'],17,"['launching', 'rt', 'denies', 'social', 'network', 'called', 'circle', 'debut', 'today', 'despite', 'report']",No emotion toward brand or product,11
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive,Apple,['#sxsw'],20,"['new', 'post', 'iphone', 'app', 'make', 'it', 'easy', 'connect', 'social', 'network', 'people', 'meet']",Positive emotion,12
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive,Apple,['#sxsw'],13,"['nice', 'iphone', 'app', 'is', 'behaving', 'today', 'crash', 'yesterday', 'were', 'ridiculous']",Positive emotion,10
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,Uncategorised,Not Positive,Apple,['#SXSW'],18,"['nice', 'rt', 'apple', 'opening', 'popup', 'store', 'ipad', 'launch', 'downtown', 'austin', 'via']",No emotion toward brand or product,11
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive,Apple,['#SXSW'],23,"['nice', 'rt', 'hey', 'apple', 'fan', 'get', 'peek', 'space', 'thats', 'slated', 'popup', 'apple', 'store', 'tomorrow']",Positive emotion,14
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive,Google,"['#sxsw', '#sxwsi']",28,"['one', 'thing', 'is', 'great', 'is', 'get', 'great', 'earth', 'face', 'google', 'company', 'can', 'love']",Positive emotion,13
Stay tune @mention showcase #H4ckers {link} #SXSW,Uncategorised,Not Positive,Uncategorized,"['#H4ckers', '#SXSW']",7,"['stay', 'tune', 'showcase']",No emotion toward brand or product,3
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Uncategorised,Not Positive,Uncategorized,"['#touchingstories', '#SXSW']",14,"['thank', 'preso', 'here', 'deck']",No emotion toward brand or product,4
Thank you @mention for an awesome #sxsw party! {link},Uncategorised,Not Positive,Uncategorized,['#sxsw'],9,"['thank', 'awesome', 'party']",No emotion toward brand or product,3
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Uncategorised,Not Positive,Uncategorized,"['#Japan', '#SXSW']",21,"['thanks', 'rt', 'trying', 'contact', 'friend', 'family', 'ha', 'created', 'person', 'finder']",No emotion toward brand or product,10
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive,Apple,"['#Speech', '#SXSW', '#sxswh', '#sxsh']",21,"['thanks', 'mention', 'new', 'ipad', 'apps', 'showcased', 'conf']",Positive emotion,7
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Uncategorised,Not Positive,Uncategorized,"['#sxswi', '#sxsw', '#sxswh', '#mhealth']",21,"['thanks', 'publishing', 'news', 'new', 'medical', 'apps', 'conf', 'blog']",No emotion toward brand or product,8
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Not Positive,Apple,['#SXSW'],17,"['not', 'provide', 'iphone', 'charger', 'ive', 'changed', 'mind', 'going', 'next', 'year']",Negative emotion,10
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,Uncategorised,Not Positive,Apple,"['#SXSW', '#ipad2']",14,"['wonder', 'amp', 'apple', 'flashmob', 'tcrnchfcs45j']",No emotion toward brand or product,5
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Uncategorised,Not Positive,Apple,"['#SxSW', '#SUxSW']",12,"['wonder', 'is', 'putting', 'tip', 'api']",No emotion toward brand or product,5
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive,Apple,['#SXSW'],22,"['xmas', 'rt', 'shiny', 'new', 'apps', 'new', 'book', 'popup', 'ipad', '2', 'store', 'is', 'christmas', 'nerd']",Positive emotion,14
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive,Apple,"['#UberSocial', '#iPhone', '#SXSW']",20,"['yai', 'rt', 'new', 'now', 'app', 'store', 'includes', 'uberguide', 'sponsored', 'cont']",Positive emotion,10
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Uncategorised,Not Positive,Uncategorized,['#SXSW'],18,"['yes', 'rt', 'hey', 'ive', 'got', 'another', 'gem', 'gt', 'free', 'sxsw']",No emotion toward brand or product,10
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive,Google,['#sxsw'],15,"['fast', 'fun', 'amp', 'future', 'google', 'presenting', 'search', 'local', 'mobile']",Positive emotion,9
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,Uncategorised,Not Positive,Google,"['#SXSW', '#Austin', '#Welivehere', '#GSDM']",16,"['gsdampm', 'amp', 'google', 'industry', 'party', 'tonight', 'see', 'u']",No emotion toward brand or product,8
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",Uncategorised,Not Positive,Google,['#sxsw'],18,"['new', 'buzz', 'quot', 'google', 'launch', 'major', 'new', 'social', 'network', 'called', 'circle', 'possibly', 'today', 'rt']",No emotion toward brand or product,14
